Player,Player Short Name,Team,Position,Pts,Owner
Tim Seifert,t seifert,nz,wk,431,COLDTAKER
Shadley Van Schalkwyk,s van schalkwyk,usa,alr,421,UNDRAFTED
George Dockrell,g dockrell,ire,bowl,418,UNDRAFTED
Bas De Leede,b de leede,neth,alr,414,UNDRAFTED
Aiden Markram,a markram,sa,bat,376,NTKESH
Shubham Ranjane,s ranjane,usa,alr,346,UNDRAFTED
Rahmanullah Gurbaz,r gurbaz,afgh,wk,341,MAHAARAJANMG
Blessing Muzarabani,b muzarabani,zim,bowl,337,UNDRAFTED
Lorcan Tucker,l tucker,ire,wk,318,UNDRAFTED
Sherfane Rutherford,s rutherford,wi,bat,306,NEELA
Gerhard Erasmus,g erasmus,nam,bat,305,UNDRAFTED
Ryan Rickelton,r rickelton,sa,bat,303,SRIRAM
George Munsey,g munsey,scot,bat,302,UNDRAFTED
Lungi Ngidi,l ngidi,sa,bowl,298,COLDTAKER
Sahibzada Farhan,s farhan,pak,wk,297,SUDARSHAN
Marco Jansen,m jansen,sa,alr,294,SUDARSHAN
Kusal Mendis,k mendis,sl,wk,287,SRIRAM
Finn Allen,f allen,nz,bat,277,AKSHAYM
Michael Leask,m leask,scot,bowl,268,UNDRAFTED
Sam Curran,s curran,eng,alr,264,SK
Quinton De Kock,q de kock,sa,wk,260,NEELA
Brad Evans,b evans,zim,alr,260,UNDRAFTED
Harmeet Singh,h singh,usa,bowl,256,UNDRAFTED
Jacob Bethell,j bethell,eng,bat,256,COLDTAKER
David Miller,d miller,sa,bat,254,SUDARSHAN
Scott Edwards,s edwards,neth,wk,248,UNDRAFTED
Richie Berrington,r berrington,scot,bat,246,UNDRAFTED
Maheesh Theekshana,m theekshana,sl,bowl,243,COLDTAKER
Ben Manenti,b manenti,ita,bowl,240,UNDRAFTED
Romario Shepherd,r shepherd,wi,alr,238,DS&PS
Kamindu Mendis,k mendis,sl,bat,233,SK
Hardik Pandya,h pandya,ind,alr,233,NTKESH
Gareth Delany,g delany,ire,alr,230,UNDRAFTED
Ishan Kishan,i kishan,ind,wk,226,SK
Nathan Ellis,n ellis,aus,bowl,224,AKSHAYM
Shimron Hetmyer,s hetmyer,wi,bat,223,DS&PS
Suryakumar Yadav,s yadav,ind,bat,221,SK
Mohammad Mohsin,m mohsin,usa,bowl,219,UNDRAFTED
Azmatullah Omarzai,a omarzai,afgh,alr,212,UNDRAFTED
Tom Banton,t banton,eng,wk,212,UNDRAFTED
Jason Holder,j holder,wi,alr,203,SUDARSHAN
Brian Bennett,b bennett,zim,alr,203,UNDRAFTED
Axar Patel,a patel,ind,alr,203,MAHAARAJANMG
