AkshayM,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8
harry brook,0.0,123.0,123.0,123.0,147.0,147.0,147.0,166.0
nathan ellis,0.0,0.0,0.0,0.0,204.0,204.0,224.0,224.0
brendan taylor,0.0,0.0,86.0,86.0,86.0,86.0,86.0,86.0
rinku singh,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0
darwish rasooli,0.0,38.0,38.0,38.0,52.0,52.0,52.0,52.0
abrar ahmed,87.0,87.0,87.0,107.0,107.0,107.0,107.0,107.0
mohammad nawaz,69.0,69.0,69.0,128.0,128.0,128.0,128.0,128.0
khawaja nafay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dushmantha chameera,0.0,48.0,48.0,48.0,48.0,118.0,118.0,118.0
shadab khan,30.0,30.0,30.0,200.0,200.0,200.0,200.0,200.0
finn allen,0.0,1.0,1.0,203.0,203.0,203.0,203.0,277.0
