Sriram,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8
saim ayub,113.0,113.0,113.0,140.0,140.0,140.0,140.0,140.0
adil rashid,0.0,-25.0,-25.0,-25.0,60.0,60.0,60.0,149.0
jacob duffy,0.0,20.0,20.0,49.0,49.0,49.0,49.0,13.0
tim david,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-21.0
ryan rickelton,0.0,0.0,68.0,68.0,227.0,227.0,227.0,303.0
shivam dube,-5.0,-5.0,-5.0,-5.0,-5.0,100.0,100.0,100.0
pathum nissanka,0.0,30.0,30.0,30.0,30.0,64.0,64.0,64.0
xavier bartlett,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0
tilak varma,84.0,84.0,84.0,84.0,84.0,140.0,140.0,140.0
cooper connolly,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0
kusal mendis,0.0,122.0,122.0,122.0,122.0,287.0,287.0,287.0
