mahaarajanmg,day_1,day_2,day_3,day_4,day_5,day_6,day_7
devon conway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glenn phillips,0.0,114.0,114.0,165.0,165.0,165.0,165.0
george linde,0.0,0.0,0.0,0.0,19.0,19.0,19.0
axar patel,105.0,105.0,105.0,105.0,105.0,203.0,203.0
keshav maharaj,0.0,0.0,17.0,17.0,114.0,114.0,114.0
ben duckett,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arshdeep singh,105.0,105.0,105.0,105.0,105.0,117.0,117.0
shai hope,20.0,20.0,20.0,20.0,-1.0,-1.0,-1.0
rahmanullah gurbaz,0.0,47.0,47.0,47.0,341.0,341.0,341.0
eshan malinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babar azam,30.0,30.0,30.0,116.0,116.0,116.0,116.0
