Player,Manager,Points
Tim Seifert,ColdTaker,431.0
Aiden Markram,ntkesh,376.0
Rahmanullah Gurbaz,mahaarajanmg,341.0
Sherfane Rutherford,neela,306.0
Ryan Rickelton,Sriram,303.0
Lungi Ngidi,ColdTaker,298.0
Sahibzada Farhan,sudarshan,297.0
Marco Jansen,sudarshan,294.0
Kusal Mendis,Sriram,287.0
Finn Allen,AkshayM,277.0
Sam Curran,sk,264.0
Quinton De Kock,neela,260.0
Jacob Bethell,ColdTaker,256.0
David Miller,sudarshan,254.0
Maheesh Theekshana,ColdTaker,243.0
Romario Shepherd,ds&ps,238.0
Kamindu Mendis,sk,233.0
Hardik Pandya,ntkesh,233.0
Ishan Kishan,sk,226.0
Nathan Ellis,AkshayM,224.0
Shimron Hetmyer,ds&ps,223.0
Suryakumar Yadav,sk,221.0
Axar Patel,mahaarajanmg,203.0
Jason Holder,sudarshan,203.0
Shadab Khan,AkshayM,200.0
Tristan Stubbs,sk,186.0
Adam Zampa,sudarshan,179.0
Dasun Shanaka,sk,175.0
Varun Chakravarthy,ntkesh,169.0
Will Jacks,ds&ps,168.0
Harry Brook,AkshayM,166.0
Glenn Phillips,mahaarajanmg,165.0
Josh Inglis,ds&ps,160.0
Daryl Mitchell,neela,159.0
Rashid Khan,neela,152.0
Gudakesh Motie,ds&ps,151.0
Adil Rashid,Sriram,149.0
Mitchell Santner,sk,147.0
Keshav Maharaj,mahaarajanmg,146.0
Sikandar Raza,neela,143.0
Roston Chase,sudarshan,142.0
Jamie Overton,ntkesh,141.0
Tilak Varma,Sriram,140.0
Saim Ayub,Sriram,140.0
Rovman Powell,neela,129.0
Mohammad Nawaz,AkshayM,128.0
Jos Buttler,ds&ps,127.0
Phil Salt,ntkesh,125.0
Shamar Joseph,ds&ps,120.0
Salman Mirza,neela,119.0
Wanindu Hasaranga,ColdTaker,119.0
Dushmantha Chameera,AkshayM,118.0
Jofra Archer,neela,118.0
Arshdeep Singh,mahaarajanmg,117.0
Babar Azam,mahaarajanmg,116.0
Matt Henry,neela,115.0
Shaheen Shah Afridi,sudarshan,111.0
Cameron Green,ColdTaker,109.0
Abrar Ahmed,AkshayM,107.0
Lockie Ferguson,ntkesh,107.0
Kagiso Rabada,sk,105.0
Shivam Dube,Sriram,100.0
James Neesham,sk,99.0
Matheesha Pathirana,sudarshan,96.0
Dewald Brevis,sudarshan,92.0
Brendan Taylor,AkshayM,86.0
Jasprit Bumrah,sk,81.0
Brandon King,ntkesh,72.0
Salman Agha,ntkesh,68.0
Pathum Nissanka,Sriram,64.0
Sanju Samson,ColdTaker,60.0
Mujeeb Ur Rahman,ColdTaker,59.0
Cooper Connolly,Sriram,53.0
Darwish Rasooli,AkshayM,52.0
Ibrahim Zadran,ntkesh,45.0
Glenn Maxwell,ds&ps,43.0
Sediqullah Atal,ntkesh,40.0
Mohammad Nabi,ColdTaker,39.0
Paul Stirling,ds&ps,35.0
Travis Head,neela,31.0
Fazalhaq Farooqi,sk,24.0
Noor Ahmad,ntkesh,20.0
George Linde,mahaarajanmg,19.0
Xavier Bartlett,Sriram,18.0
Rinku Singh,AkshayM,16.0
Jacob Duffy,Sriram,13.0
Khawaja Nafay,AkshayM,0.0
Anrich Nortje,ds&ps,0.0
Kusal Perera,neela,0.0
Fakhar Zaman,ColdTaker,0.0
Devon Conway,mahaarajanmg,0.0
Jason Smith,sudarshan,0.0
Mitchell Marsh,ds&ps,0.0
Eshan Malinga,mahaarajanmg,0.0
Ben Duckett,mahaarajanmg,0.0
Naseem Shah,sudarshan,0.0
Shai Hope,mahaarajanmg,-1.0
Abhishek Sharma,ColdTaker,-20.0
Tim David,Sriram,-21.0
