Player,Manager,Points
Tim Seifert,COLDTAKER,431
Aiden Markram,NTKESH,376
Rahmanullah Gurbaz,MAHAARAJANMG,341
Sherfane Rutherford,NEELA,306
Ryan Rickelton,SRIRAM,303
Lungi Ngidi,COLDTAKER,298
Sahibzada Farhan,SUDARSHAN,297
Marco Jansen,SUDARSHAN,294
Kusal Mendis,SRIRAM,287
Finn Allen,AKSHAYM,277
Sam Curran,SK,264
Quinton De Kock,NEELA,260
Jacob Bethell,COLDTAKER,256
David Miller,SUDARSHAN,254
Maheesh Theekshana,COLDTAKER,243
Romario Shepherd,DS&PS,238
Kamindu Mendis,SK,233
Hardik Pandya,NTKESH,233
Ishan Kishan,SK,226
Nathan Ellis,AKSHAYM,224
Shimron Hetmyer,DS&PS,223
Suryakumar Yadav,SK,221
Axar Patel,MAHAARAJANMG,203
Jason Holder,SUDARSHAN,203
Shadab Khan,AKSHAYM,200
Tristan Stubbs,SK,186
Adam Zampa,SUDARSHAN,179
Dasun Shanaka,SK,175
Varun Chakravarthy,NTKESH,169
Will Jacks,DS&PS,168
Harry Brook,AKSHAYM,166
Glenn Phillips,MAHAARAJANMG,165
Josh Inglis,DS&PS,160
Daryl Mitchell,NEELA,159
Rashid Khan,NEELA,152
Gudakesh Motie,DS&PS,151
Adil Rashid,SRIRAM,149
Mitchell Santner,SK,147
Keshav Maharaj,MAHAARAJANMG,146
Sikandar Raza,NEELA,143
Roston Chase,SUDARSHAN,142
Jamie Overton,NTKESH,141
Tilak Varma,SRIRAM,140
Saim Ayub,SRIRAM,140
Rovman Powell,NEELA,129
Mohammad Nawaz,AKSHAYM,128
Jos Buttler,DS&PS,127
Phil Salt,NTKESH,125
Shamar Joseph,DS&PS,120
Salman Mirza,NEELA,119
Wanindu Hasaranga,COLDTAKER,119
Dushmantha Chameera,AKSHAYM,118
Jofra Archer,NEELA,118
Arshdeep Singh,MAHAARAJANMG,117
Babar Azam,MAHAARAJANMG,116
Matt Henry,NEELA,115
Shaheen Shah Afridi,SUDARSHAN,111
Cameron Green,COLDTAKER,109
Abrar Ahmed,AKSHAYM,107
Lockie Ferguson,NTKESH,107
Kagiso Rabada,SK,105
Shivam Dube,SRIRAM,100
James Neesham,SK,99
Matheesha Pathirana,SUDARSHAN,96
Dewald Brevis,SUDARSHAN,92
Brendan Taylor,AKSHAYM,86
Jasprit Bumrah,SK,81
Brandon King,NTKESH,72
Salman Agha,NTKESH,68
Pathum Nissanka,SRIRAM,64
Sanju Samson,COLDTAKER,60
Mujeeb Ur Rahman,COLDTAKER,59
Cooper Connolly,SRIRAM,53
Darwish Rasooli,AKSHAYM,52
Ibrahim Zadran,NTKESH,45
Glenn Maxwell,DS&PS,43
Sediqullah Atal,NTKESH,40
Mohammad Nabi,COLDTAKER,39
Paul Stirling,DS&PS,35
Travis Head,NEELA,31
Fazalhaq Farooqi,SK,24
Noor Ahmad,NTKESH,20
George Linde,MAHAARAJANMG,19
Xavier Bartlett,SRIRAM,18
Rinku Singh,AKSHAYM,16
Jacob Duffy,SRIRAM,13
Khawaja Nafay,AKSHAYM,0
Anrich Nortje,DS&PS,0
Kusal Perera,NEELA,0
Fakhar Zaman,COLDTAKER,0
Devon Conway,MAHAARAJANMG,0
Jason Smith,SUDARSHAN,0
Mitchell Marsh,DS&PS,0
Eshan Malinga,MAHAARAJANMG,0
Ben Duckett,MAHAARAJANMG,0
Naseem Shah,SUDARSHAN,0
Shai Hope,MAHAARAJANMG,-1
Abhishek Sharma,COLDTAKER,-20
Tim David,SRIRAM,-21
